+---------+---------------------------------------------------+---------+-----------------+
| gh_lang | gh_project_name                                   | commits | tr_log_analyzer |
+---------+---------------------------------------------------+---------+-----------------+
| java    | SonarSource/sonarqube                             |   11590 | java-maven      |
| java    | Graylog2/graylog2-server                          |    8490 | java-maven      |
| java    | square/okhttp                                     |    5367 | java-maven      |
| java    | CloudifySource/cloudify                           |    4984 | java-maven      |
| java    | structr/structr                                   |    3809 | java-maven      |
| java    | owlcs/owlapi                                      |    3238 | java-maven      |
| java    | jOOQ/jOOQ                                         |    3196 | java-maven      |
| java    | checkstyle/checkstyle                             |    3029 | java-maven      |
| java    | mikera/vectorz                                    |    3025 | java-maven      |
| java    | datastax/java-driver                              |    2961 | java-maven      |
| java    | lviggiano/owner                                   |    2671 | java-maven      |
| java    | naver/pinpoint                                    |    2483 | java-maven      |
| java    | mybatis/mybatis-3                                 |    2414 | java-maven      |
| java    | rackerlabs/blueflood                              |    2407 | java-maven      |
| java    | relayrides/pushy                                  |    2361 | java-maven      |
| java    | nutzam/nutz                                       |    2343 | java-maven      |
| java    | square/wire                                       |    2335 | java-maven      |
| java    | killbill/killbill                                 |    2197 | java-maven      |
| java    | caelum/vraptor4                                   |    2173 | java-maven      |
| java    | Unidata/thredds                                   |    2164 | java-maven      |
| java    | FasterXML/jackson-databind                        |    2134 | java-maven      |
| java    | teamed/qulice                                     |    2102 | java-maven      |
| java    | deeplearning4j/deeplearning4j                     |    2053 | java-maven      |
| java    | DSpace/DSpace                                     |    2049 | java-maven      |
| java    | facebook/presto                                   |    1966 | java-maven      |
| java    | timmolter/XChange                                 |    1948 | java-maven      |
| java    | languagetool-org/languagetool                     |    1899 | java-maven      |
| java    | GoogleCloudPlatform/DataflowJavaSDK               |    1849 | java-maven      |
| java    | tananaev/traccar                                  |    1764 | java-maven      |
| java    | dropwizard/dropwizard                             |    1746 | java-maven      |
| java    | javaslang/javaslang                               |    1598 | java-maven      |
| java    | FenixEdu/fenixedu-academic                        |    1589 | java-maven      |
| java    | julianhyde/optiq                                  |    1542 | java-maven      |
| java    | weld/core                                         |    1503 | java-maven      |
| java    | square/retrofit                                   |    1472 | java-maven      |
| java    | brettwooldridge/HikariCP                          |    1465 | java-maven      |
| java    | tinkerpop/blueprints                              |    1375 | java-maven      |
| java    | tinkerpop/rexster                                 |    1364 | java-maven      |
